"Name","Brewer","Style","Abv","Ratings","ScoreOverall","ScoreByStyle"
"Narragansett Light","Narragansett Brewing Company","Pale Lager",3.8,13,11,79
"Narragansett Porter","Narragansett Brewing Company","Porter",7,78,59,37
"Narragansett Summer Ale","Narragansett Brewing Company","American Pale Ale",4.2,64,47,35
"Odin Freyas Gold","Odin Brewing Company","Kölsch",4.5,36,47,77
"Odin Gift Ruby Ale","Odin Brewing Company","Amber Ale",5.4,34,77,92
"Odin Thors Equinox","Odin Brewing Company","Belgian Strong Ale",9,21,85,63
"Pale Horse Hillbilly Blonde","Pale Horse Brewing Company","Golden Ale/Blond Ale",0,8,NA,NA
"Pale Horse Hopyard Dog IPA","Pale Horse Brewing Company","India Pale Ale (IPA)",7.2,42,66,35
"Pale Horse Mystic Wolf Amber","Pale Horse Brewing Company","Amber Ale",6,7,NA,NA
"Pale Horse Ravens Roost","Pale Horse Brewing Company","Imperial/Double IPA",0,2,NA,NA
"Pale Horse Stout","Pale Horse Brewing Company","Dry Stout",4.4,10,67,48
"Pale Horse Winter Seasonal","Pale Horse Brewing Company","Scotch Ale",9,3,NA,NA
"Philadelphia Fleur de Lehigh","Philadelphia Brewing Company","Spice/Herb/Vegetable",4.2,71,34,39
"Philadelphia Joe Coffee Porter","Philadelphia Brewing Company","Porter",5,101,84,73
"Philadelphia Kenzinger","Philadelphia Brewing Company","Dortmunder/Helles",4.5,112,35,71
"Philadelphia Kilty Pleasure","Philadelphia Brewing Company","Scotch Ale",8,37,77,47
"Philadelphia Newbold IPA","Philadelphia Brewing Company","India Pale Ale (IPA)",7,118,59,29
"Philadelphia Pennsylvania Pale Ale","Philadelphia Brewing Company","American Pale Ale",5.25,39,44,30
"Philadelphia Rowhouse Red","Philadelphia Brewing Company","Specialty Grain",5,74,45,42
"Philadelphia Shackamaximum Stout","Philadelphia Brewing Company","Imperial Stout",10,67,96,50
"Philadelphia Walt Wit","Philadelphia Brewing Company","Belgian White (Witbier)",4,113,40,43
"Philadelphia Winter Wunder","Philadelphia Brewing Company","Spice/Herb/Vegetable",6.5,30,44,48
"Port City Downright Pilsner","Port City Brewing Company","Pilsener",4.8,28,70,96
"Port City Essential Pale Ale","Port City Brewing Company","American Pale Ale",5.5,52,69,55
"Port City Monumental IPA","Port City Brewing Company","India Pale Ale (IPA)",6.3,73,54,25
"Port City Optimal Wit","Port City Brewing Company","Belgian White (Witbier)",5,53,65,81
"Port City Porter","Port City Brewing Company","Porter",7.5,93,92,92
"Rahr & Sons Blonde Lager","Rahr & Sons Brewing","Dortmunder/Helles",4.6,117,24,34
"Rahr & Sons Rahrs Red","Rahr & Sons Brewing","Vienna",4.7,140,30,55
"Rahr & Sons Stormcloud IPA","Rahr & Sons Brewing","India Pale Ale (IPA)",6,115,35,6
"Rahr & Sons Ugly Pug","Rahr & Sons Brewing","Schwarzbier",4.75,198,39,32
"Red Lodge Bent Nail IPA","Red Lodge Ales","India Pale Ale (IPA)",6.3,51,75,44
"Red Lodge Broken Nail Double IPA","Red Lodge Ales","Imperial/Double IPA",8.5,9,74,19
"Red Lodge Czech Mate Pilsner","Red Lodge Ales","Pilsener",5.5,9,39,81
"Red Lodge Glacier Ale","Red Lodge Ales","Altbier",5.2,39,55,54
"Red Lodge Hefeweizen","Red Lodge Ales","Wheat Ale",6,25,40,68
"Red Lodge Octoberfest","Red Lodge Ales","Oktoberfest/Märzen",5.5,7,0,0
"Renegade Ryeteous Rye IPA","Renegade Brewing Company","India Pale Ale (IPA)",7,25,72,41
"Rio Grande Desert Pils","Rio Grande Brewing Co. (Sierra Blanca Brewing)","Classic German Pilsener",5.4,32,23,30
"Rio Grande India Pale Ale","Rio Grande Brewing Co. (Sierra Blanca Brewing)","India Pale Ale (IPA)",5.8,36,45,13
"Rio Grande Outlaw Lager","Rio Grande Brewing Co. (Sierra Blanca Brewing)","California Common",5.2,53,15,1
"Rio Grande Pancho Verde Chile Cerveza","Rio Grande Brewing Co. (Sierra Blanca Brewing)","Spice/Herb/Vegetable",4.67,84,12,12
"Rivertown Blueberry Lager","Rivertown Brewing","Fruit Beer",5.3,27,25,48
"Rivertown Bock","Rivertown Brewing","Dunkler Bock",7.2,20,45,46
"Rivertown Dunkel","Rivertown Brewing","Dunkel",5.8,43,53,85
"Rivertown Helles Lager","Rivertown Brewing","Dortmunder/Helles",5.3,58,44,89
"Rivertown Hop Baron Doubledown IPA","Rivertown Brewing","Imperial/Double IPA",8.5,59,88,40
"Rivertown Hop Bomber Pale Ale","Rivertown Brewing","American Pale Ale",5.5,102,65,49
"Rivertown Jenneke","Rivertown Brewing","Belgian White (Witbier)",6.1,12,39,42
"Rivertown Lambic","Rivertown Brewing","Lambic - Unblended",6.3,106,96,84
"Rivertown Ojos Negros","Rivertown Brewing","Lambic - Fruit",6.5,32,95,68
"Rivertown Oktoberfest","Rivertown Brewing","Oktoberfest/Märzen",6.7,13,45,62
"Rivertown Old Sour Cherry Porter","Rivertown Brewing","Sour Ale/Wild Ale",9,14,74,23
"Rivertown Pumpkin Ale","Rivertown Brewing","Spice/Herb/Vegetable",5,41,75,84
"Rivertown Roebling Porter","Rivertown Brewing","Imperial/Strong Porter",7.8,57,78,17
"Rivertown Unit 6 American Hefeweizen","Rivertown Brewing","Wheat Ale",5.5,24,33,53
"Rivertown Ville De Rivere Geuze","Rivertown Brewing","Lambic - Gueuze",6.4,29,92,34
"Rivertown Winter Ale","Rivertown Brewing","Spice/Herb/Vegetable",0,41,46,50
"Rivertown Wit","Rivertown Brewing","Belgian White (Witbier)",5.1,40,37,39
"Santa Fe Black IPA","Santa Fe Brewing Company","Black IPA",7.1,29,81,35
"Santa Fe Chicken Killer Barley Wine","Santa Fe Brewing Company","Barley Wine",10,328,91,51
"Santa Fe Freestyle Pilsner","Santa Fe Brewing Company","Pilsener",5.5,34,62,94
"Santa Fe Happy Camper IPA","Santa Fe Brewing Company","India Pale Ale (IPA)",6.6,160,89,74
"Santa Fe Imperial Java Stout","Santa Fe Brewing Company","Imperial Stout",8,168,98,70
"Santa Fe Kickin Chicken","Santa Fe Brewing Company","Barley Wine",12,62,89,48
"Santa Fe Nut Brown Ale","Santa Fe Brewing Company","Brown Ale",5.2,196,42,36
"Santa Fe Oktoberfest","Santa Fe Brewing Company","Oktoberfest/Märzen",6,36,49,78
"Santa Fe State Pen Porter","Santa Fe Brewing Company","Porter",6.4,216,92,90
"Sierra Blanca Alien Wheat","Sierra Blanca Brewing Co","Belgian White (Witbier)",5,15,26,22
"Sierra Blanca Imperial Stout","Sierra Blanca Brewing Co","Imperial Stout",7.2,15,61,6
"Sierra Blanca Nut Brown Beer","Sierra Blanca Brewing Co","Brown Ale",5,67,59,62
"Sierra Blanca Pale Ale","Sierra Blanca Brewing Co","American Pale Ale",6,41,39,22
"Sierra Blanca Roswell Alien Amber Ale","Sierra Blanca Brewing Co","Amber Ale",5.2,148,21,14
"Six Rivers Bluff Creek Pale Ale","Six Rivers Brewery","American Pale Ale",5.5,28,30,11
"Six Rivers Chili Pepper Spicy Ale","Six Rivers Brewery","Spice/Herb/Vegetable",6,47,31,36
"Six Rivers IPA","Six Rivers Brewery","India Pale Ale (IPA)",7.2,67,77,45
"Six Rivers Moonstone Porter","Six Rivers Brewery","Porter",6,47,63,40
"Six Rivers Paradise Moon Coffee Porter","Six Rivers Brewery","Porter",6,63,81,65
"Straight To Ale Monkeynaut IPA","Straight To Ale","India Pale Ale (IPA)",7.25,41,91,80
"Strike Blonde Ale","Strike Brewing Company","Golden Ale/Blond Ale",0,2,NA,NA
"Strike Brown Ae","Strike Brewing Company","Brown Ale",0,2,NA,NA
"Strike Imperial Red","Strike Brewing Company","Amber Ale",0,4,NA,NA
"Strike IPA","Strike Brewing Company","India Pale Ale (IPA)",0,5,NA,NA
"Strike Wit","Strike Brewing Company","Belgian White (Witbier)",0,1,NA,NA
"Telluride Bridal Veil Rye Pale Ale","Telluride Brewing Company","Specialty Grain",5.5,8,NA,NA
"Terrapin Georgia Theatre Session: Double Feature","Terrapin Beer Company","Abbey Dubbel",7.7,69,52,35
"Terrapin Hopsecutioner India Pale Ale","Terrapin Beer Company","India Pale Ale (IPA)",7.3,586,96,95
"Terrapin Rye Pale Ale","Terrapin Beer Company","American Pale Ale",5.3,919,92,94
"Terrapin Side Project Phlux Capacitor","Terrapin Beer Company","American Strong Ale",9.8,104,93,64
"Thunderhead Cornstalker Dark Wheat","Thunderhead Brewing Company","Wheat Ale",5.2,27,48,84
"Thunderhead Golden Fraü","Thunderhead Brewing Company","Wheat Ale",7.5,28,31,48
"Twisted Pine Big Shot Espresso Stout","Twisted Pine Brewing","Sweet Stout",6,169,95,93
"Twisted Pine Billys Chilies","Twisted Pine Brewing","Spice/Herb/Vegetable",5.1,130,30,34
"Twisted Pine Ghost Face Killah","Twisted Pine Brewing","Spice/Herb/Vegetable",4.5,175,14,15
"Twisted Pine Hoppy Boy IPA","Twisted Pine Brewing","India Pale Ale (IPA)",6.2,210,50,21
"Twisted Pine Raspberry Wheat Ale","Twisted Pine Brewing","Fruit Beer",5.1,80,25,48
"Upslope Brown Ale","Upslope Brewing Company","Brown Ale",6.7,38,87,93
"Upslope Christmas Ale","Upslope Brewing Company","Spice/Herb/Vegetable",8.2,13,41,45
"Upslope Craft Lager","Upslope Brewing Company","Premium Lager",4.8,22,26,63
"Upslope India Pale Ale","Upslope Brewing Company","India Pale Ale (IPA)",7.2,94,50,21
"Upslope Pale Ale","Upslope Brewing Company","American Pale Ale",5.8,53,40,24
"Voodoo 4 Seasons IPA","Voodoo Brewing Co.","India Pale Ale (IPA)",0,109,78,46
"Voodoo Big Black Voodoo Daddy","Voodoo Brewing Co.","Imperial Stout",12,241,99,85
"Voodoo Gran Met","Voodoo Brewing Co.","Belgian Strong Ale",9.5,98,55,31
"Voodoo Love Child","Voodoo Brewing Co.","Fruit Beer",9.5,147,69,92
"Voodoo White Magick of the Sun","Voodoo Brewing Co.","Belgian White (Witbier)",6,104,62,78
"Voodoo Wynonas Big Brown Ale","Voodoo Brewing Co.","Brown Ale",7.2,126,91,96
